spellKey,spellLabel,level,schoolKey,castingTime,actionEconomyTag,rangeText,rangeKind,rangeDistanceFeet,rangeAreaText,componentVerbal,componentSomatic,componentMaterial,materialText,duration,concentration,ritual,requiresSavingThrow,saveAbilityKeys,requiresAttackRoll,attackRollKind,atHigherLevelsText,sourceSection
acid-arrow,Acid Arrow,2,evocation,Action,action,90 feet,feet,90,,true,true,true,powdered rhubarb leaf,Instantaneous,false,false,false,,true,ranged,Using a Higher-Level Spell Slot. The damage (both initial and later) increases by 1d4 for each spell slot level above 2.,Spell Descriptions: Acid Arrow
acid-splash,Acid Splash,0,evocation,Action,action,60 feet,feet,60,,true,true,false,,Instantaneous,false,false,true,dexterity,false,,"Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
aid,Aid,2,abjuration,Action,action,30 feet,feet,30,,true,true,true,a strip of white cloth,8 hours,false,false,false,,false,,Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.,Spell Descriptions: Aid
alarm,Alarm,1,abjuration,1 minute or Ritual,long-cast,30 feet,feet,30,,true,true,true,a bell and silver wire,8 hours,false,true,false,,false,,,Spell Descriptions: Alarm
alter-self,Alter Self,2,transmutation,Action,action,Self,self,,,true,true,false,,"Concentration, up to 1 hour",true,false,false,,false,,,Spell Descriptions: Alter Self
animal-friendship,Animal Friendship,1,enchantment,Action,action,30 feet,feet,30,,true,true,true,a morsel of food,24 hours,false,false,true,wisdom,false,,Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1.,Spell Descriptions: Animal Friendship
animal-messenger,Animal Messenger,2,enchantment,Action or Ritual,action,30 feet,feet,30,,true,true,true,a morsel of food,24 hours,false,true,true,charisma,false,,Using a Higher-Level Spell Slot. The spell's duration increases by 48 hours for each spell slot level above 2.,Spell Descriptions: Animal Messenger
animal-shapes,Animal Shapes,8,transmutation,Action,action,30 feet,feet,30,,true,true,false,,24 hours,false,false,false,,false,,,Spell Descriptions: Animal Shapes
animate-dead,Animate Dead,3,necromancy,1 minute,long-cast,10 feet,feet,10,,true,true,true,"a drop of blood, a piece of flesh, and a pinch of bone dust",Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.,Spell Descriptions: Animate Dead
animate-objects,Animate Objects,5,transmutation,Action,action,120 feet,feet,120,,true,true,false,,"Concentration, up to 1 minute",true,false,false,,false,,"Using a Higher-Level Spell Slot. The creature's Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",Spell Descriptions: Animate Objects
antilife-shell,Antilife Shell,5,abjuration,Action,action,Self,self,,,true,true,false,,"Concentration, up to 1 hour",true,false,false,,false,,,Spell Descriptions: Antilife Shell
antimagic-field,Antimagic Field,8,abjuration,Action,action,Self,self,,,true,true,true,iron filings,"Concentration, up to 1 hour",true,false,false,,false,,,Spell Descriptions: Antimagic Field
antipathy-sympathy,Antipathy/Sympathy,8,enchantment,1 hour,long-cast,60 feet,feet,60,,true,true,true,a mix of vinegar and honey,10 days,false,false,true,wisdom,false,,,Spell Descriptions: Antipathy/Sympathy
arcane-eye,Arcane Eye,4,divination,Action,action,30 feet,feet,30,,true,true,true,a bit of bat fur,"Concentration, up to 1 hour",true,false,false,,false,,,Spell Descriptions: Arcane Eye
arcane-hand,Arcane Hand,5,evocation,Action,action,120 feet,feet,120,,true,true,true,an eggshell and a glove,"Concentration, up to 1 minute",true,false,true,dexterity;strength,true,melee,Using a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.,Spell Descriptions: Arcane Hand
arcane-lock,Arcane Lock,2,abjuration,Action,action,Touch,touch,,,true,true,true,"gold dust worth 25+ GP, which the spell consumes",Until dispelled,false,false,false,,false,,,Spell Descriptions: Arcane Lock
arcane-sword,Arcane Sword,7,evocation,Action,action,90 feet,feet,90,,true,true,true,a miniature sword worth 250+ GP,"Concentration, up to 1 minute",true,false,false,,true,melee,,Spell Descriptions: Arcane Sword
arcanists-magic-aura,Arcanist's Magic Aura,2,illusion,Action,action,Touch,touch,,,true,true,true,a small square of silk,24 hours,false,false,false,,false,,,Spell Descriptions: Arcanist's Magic Aura
astral-projection,Astral Projection,9,necromancy,1 hour,long-cast,10 feet,feet,10,,true,true,true,"for each of the spell's targets, one jacinth worth 1,000+ GP and one silver bar worth 100+ GP, all of which the spell consumes",Until dispelled,false,false,false,,false,,,Spell Descriptions: Astral Projection
augury,Augury,2,divination,1 minute or Ritual,long-cast,Self,self,,,true,true,true,"specially marked sticks, bones, cards, or other divinatory tokens worth 25+ GP",Instantaneous,false,true,false,,false,,,Spell Descriptions: Augury
aura-of-life,Aura of Life,4,abjuration,Action,action,Self,self,,,true,false,false,,"Concentration, up to 10 minutes",true,false,false,,false,,,Spell Descriptions: Aura of Life
awaken,Awaken,5,transmutation,8 hours,long-cast,Touch,touch,,,true,true,true,"an agate worth 1,000+ GP, which the spell consumes",Instantaneous,false,false,false,,false,,,Spell Descriptions: Awaken
bane,Bane,1,enchantment,Action,action,30 feet,feet,30,,true,true,true,a drop of blood,"Concentration, up to 1 minute",true,false,true,charisma,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.,Spell Descriptions: Bane
banishment,Banishment,4,abjuration,Action,action,30 feet,feet,30,,true,true,true,a pentacle,"Concentration, up to 1 minute",true,false,true,charisma,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.,Spell Descriptions: Banishment
barkskin,Barkskin,2,transmutation,Bonus Action,bonus-action,Touch,touch,,,true,true,true,a handful of bark,1 hour,false,false,false,,false,,,Spell Descriptions: Barkskin
beacon-of-hope,Beacon of Hope,3,abjuration,Action,action,30 feet,feet,30,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Beacon of Hope
befuddlement,Befuddlement,8,enchantment,Action,action,150 feet,feet,150,,true,true,true,a key ring with no keys,Instantaneous,false,false,true,intelligence,false,,,Spell Descriptions: Befuddlement
bestow-curse,Bestow Curse,3,necromancy,Action,action,Touch,touch,,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,"Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled.",Spell Descriptions: Bestow Curse
black-tentacles,Black Tentacles,4,conjuration,Action,action,90 feet,feet,90,,true,true,true,a tentacle,"Concentration, up to 1 minute",true,false,true,strength,false,,,Spell Descriptions: Black Tentacles
blade-barrier,Blade Barrier,6,evocation,Action,action,90 feet,feet,90,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,dexterity,false,,,Spell Descriptions: Blade Barrier
bless,Bless,1,enchantment,Action,action,30 feet,feet,30,,true,true,true,a Holy Symbol worth 5+ GP,"Concentration, up to 1 minute",true,false,false,,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.,Spell Descriptions: Bless
blight,Blight,4,necromancy,Action,action,30 feet,feet,30,,true,true,false,,Instantaneous,false,false,true,constitution,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Blight
blindness-deafness,Blindness/Deafness,2,transmutation,Action,action,120 feet,feet,120,,true,false,false,,1 minute,false,false,true,constitution,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.,Spell Descriptions: Blindness/Deafness
blink,Blink,3,transmutation,Action,action,Self,self,,,true,true,false,,1 minute,false,false,false,,false,,,Spell Descriptions: Blink
blur,Blur,2,illusion,Action,action,Self,self,,,true,false,false,,"Concentration, up to 1 minute",true,false,false,,false,,,Spell Descriptions: Blur
burning-hands,Burning Hands,1,evocation,Action,action,Self,self,,,true,true,false,,Instantaneous,false,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Burning Hands
call-lightning,Call Lightning,3,conjuration,Action,action,120 feet,feet,120,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.,Spell Descriptions: Call Lightning
calm-emotions,Calm Emotions,2,enchantment,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 1 minute",true,false,true,charisma,false,,,Spell Descriptions: Calm Emotions
chain-lightning,Chain Lightning,6,evocation,Action,action,150 feet,feet,150,,true,true,true,three silver pins,Instantaneous,false,false,true,dexterity,false,,Using a Higher-Level Spell Slot. One additional bolt leaps from the first target to another target for each spell slot level above 6.,Spell Descriptions: Chain Lightning
charm-monster,Charm Monster,4,enchantment,Action,action,30 feet,feet,30,,true,true,false,,1 hour,false,false,true,wisdom,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.,Spell Descriptions: Charm Monster
charm-person,Charm Person,1,enchantment,Action,action,30 feet,feet,30,,true,true,false,,1 hour,false,false,true,wisdom,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.,Spell Descriptions: Charm Person
chill-touch,Chill Touch,0,necromancy,Action,action,Touch,touch,,,true,true,false,,Instantaneous,false,false,false,,true,melee,"Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Chill Touch
chromatic-orb,Chromatic Orb,1,evocation,Action,action,90 feet,feet,90,,true,true,true,a diamond worth 50+ GP,Instantaneous,false,false,false,,true,ranged,"Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a maximum number of times equal to the level of the slot expended, and a creature can be targeted only once by each casting of this spell.",Spell Descriptions: Chromatic Orb
circle-of-death,Circle of Death,6,necromancy,Action,action,150 feet,feet,150,,true,true,true,the powder of a crushed black pearl worth 500+ GP,Instantaneous,false,false,true,constitution,false,,Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 6.,Spell Descriptions: Circle of Death
clairvoyance,Clairvoyance,3,divination,10 minutes,long-cast,1 mile,miles,5280,,true,true,true,"a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing","Concentration, up to 10 minutes",true,false,false,,false,,,Spell Descriptions: Clairvoyance
clone,Clone,8,necromancy,1 hour,long-cast,Touch,touch,,,true,true,true,"a diamond worth 1,000+ GP, which the spell consumes, and a sealable vessel worth 2,000+ GP that is large enough to hold the creature being cloned",Instantaneous,false,false,false,,false,,,Spell Descriptions: Clone
cloudkill,Cloudkill,5,conjuration,Action,action,120 feet,feet,120,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,constitution,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Cloudkill
color-spray,Color Spray,1,illusion,Action,action,Self,self,,,true,true,true,a pinch of colorful sand,Instantaneous,false,false,true,constitution,false,,,Spell Descriptions: Color Spray
command,Command,1,enchantment,Action,action,60 feet,feet,60,,true,false,false,,Instantaneous,false,false,true,wisdom,false,,Using a Higher-Level Spell Slot. You can affect one additional creature for each spell slot level above 1.,Spell Descriptions: Command
commune,Commune,5,divination,1 minute or Ritual,long-cast,Self,self,,,true,true,true,incense,1 minute,false,true,false,,false,,,Spell Descriptions: Commune
commune-with-nature,Commune with Nature,5,divination,1 minute or Ritual,long-cast,Self,self,,,true,true,false,,Instantaneous,false,true,false,,false,,,Spell Descriptions: Commune with Nature
comprehend-languages,Comprehend Languages,1,divination,Action or Ritual,action,Self,self,,,true,true,true,a pinch of soot and salt,1 hour,false,true,false,,false,,,Spell Descriptions: Comprehend Languages
compulsion,Compulsion,4,enchantment,Action,action,30 feet,feet,30,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Compulsion
cone-of-cold,Cone of Cold,5,evocation,Action,action,Self,self,,,true,true,true,a small crystal or glass cone,Instantaneous,false,false,true,constitution,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Cone of Cold
confusion,Confusion,4,enchantment,Action,action,90 feet,feet,90,,true,true,true,three nut shells,"Concentration, up to 1 minute",true,false,true,wisdom,false,,Using a Higher-Level Spell Slot. The Sphere's radius increases by 5 feet for each spell slot level above 4.,Spell Descriptions: Confusion
conjure-animals,Conjure Animals,3,conjuration,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,dexterity;strength,false,,Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.,Spell Descriptions: Conjure Animals
