conditionKey,conditionLabel,effectKey,effectLabel,effectText,maskActionTypes,effectKind,mechanicalStatus,adjudicationNote,sourceSection
blinded,Blinded,cant-see,Can't See,You can't see and automatically fail any ability check that requires sight.,dyn:UseSight,sensory-mask,codified-mask,The ability-check auto-failure depends on whether a check requires sight; the mask records the sensory affordance only.,Rules Glossary: Blinded [Condition]
blinded,Blinded,attacks-affected,Attacks Affected,"Attack rolls against you have Advantage, and your attack rolls have Disadvantage.",,d20-modifier,structured-not-mask,"Attack-roll advantage and disadvantage are roll modifiers, not action masks.",Rules Glossary: Blinded [Condition]
charmed,Charmed,cant-harm-the-charmer,Can't Harm the Charmer,You can't attack the charmer or target the charmer with damaging abilities or magical effects.,dyn:HarmConditionSource,conditional-affordance-mask,adjudication-scoped-mask,The mask is source-scoped to the charmer and does not prohibit harm against others.,Rules Glossary: Charmed [Condition]
charmed,Charmed,social-advantage,Social Advantage,The charmer has Advantage on any ability check to interact with you socially.,,d20-modifier,structured-not-mask,"Social interaction advantage is a roll modifier, not an action mask.",Rules Glossary: Charmed [Condition]
deafened,Deafened,cant-hear,Can't Hear,You can't hear and automatically fail any ability check that requires hearing.,dyn:UseHearing,sensory-mask,codified-mask,The ability-check auto-failure depends on whether a check requires hearing; the mask records the sensory affordance only.,Rules Glossary: Deafened [Condition]
exhaustion,Exhaustion,exhaustion-levels,Exhaustion Levels,"This condition is cumulative. Each time you receive it, you gain 1 Exhaustion level. You die if your Exhaustion level is 6.",,condition-counter,structured-not-mask,"Exhaustion levels are cumulative condition state, not an affordance mask.",Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,d20-tests-affected,D20 Tests Affected,"When you make a D20 Test, the roll is reduced by 2 times your Exhaustion level.",,d20-modifier,structured-not-mask,The roll reduction is mechanical but is not an action mask.,Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,speed-reduced,Speed Reduced,Your Speed is reduced by a number of feet equal to 5 times your Exhaustion level.,,movement-modifier,structured-not-mask,Speed reduction may limit movement distance without masking Move entirely.,Rules Glossary: Exhaustion [Condition]
exhaustion,Exhaustion,removing-exhaustion-levels,Removing Exhaustion Levels,"Finishing a Long Rest removes 1 of your Exhaustion levels. When your Exhaustion level reaches 0, the condition ends.",,condition-recovery,structured-not-mask,"Recovery timing is condition lifecycle data, not an action mask.",Rules Glossary: Exhaustion [Condition]
frightened,Frightened,ability-checks-and-attacks-affected,Ability Checks and Attacks Affected,You have Disadvantage on ability checks and attack rolls while the source of fear is within line of sight.,,d20-modifier,structured-not-mask,The line-of-sight roll modifier is not an action mask.,Rules Glossary: Frightened [Condition]
frightened,Frightened,cant-approach,Can't Approach,You can't willingly move closer to the source of fear.,dyn:MoveCloserToConditionSource,conditional-affordance-mask,adjudication-scoped-mask,The mask applies only to willing movement closer to the fear source.,Rules Glossary: Frightened [Condition]
grappled,Grappled,speed-0,Speed 0,Your Speed is 0 and can't increase.,dyn:Move,affordance-mask,codified-mask,,Rules Glossary: Grappled [Condition]
grappled,Grappled,attacks-affected,Attacks Affected,You have Disadvantage on attack rolls against any target other than the grappler.,,d20-modifier,structured-not-mask,"The attack-roll disadvantage is a roll modifier, not an action mask.",Rules Glossary: Grappled [Condition]
grappled,Grappled,movable,Movable,"The grappler can drag or carry you when it moves, but every foot of movement costs it 1 extra foot unless you are Tiny or two or more sizes smaller than it.",,movement-adjudication,adjudication-required,Dragging or carrying the grappled target depends on grappler movement and relative size.,Rules Glossary: Grappled [Condition]
incapacitated,Incapacitated,inactive,Inactive,"You can't take any action, Bonus Action, or Reaction.",dyn:TakeAction;dyn:TakeBonusAction;dyn:TakeReaction,affordance-mask,codified-mask,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,no-concentration,No Concentration,Your Concentration is broken.,dyn:MaintainConcentration,affordance-mask,codified-mask,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,speechless,Speechless,You can't speak.,dyn:Speak,affordance-mask,codified-mask,,Rules Glossary: Incapacitated [Condition]
incapacitated,Incapacitated,surprised,Surprised,"If you're Incapacitated when you roll Initiative, you have Disadvantage on the roll.",,d20-modifier,structured-not-mask,"Initiative disadvantage is a roll modifier, not an action mask.",Rules Glossary: Incapacitated [Condition]
invisible,Invisible,surprise,Surprise,"If you're Invisible when you roll Initiative, you have Advantage on the roll.",,d20-modifier,structured-not-mask,"Initiative advantage is a roll modifier, not an action mask.",Rules Glossary: Invisible [Condition]
invisible,Invisible,concealed,Concealed,You aren't affected by any effect that requires its target to be seen unless the effect's creator can somehow see you. Any equipment you are wearing or carrying is also concealed.,,targeting-adjudication,adjudication-required,Sight-required targeting is source/observer dependent; this package records the prose rather than inventing a targeting engine.,Rules Glossary: Invisible [Condition]
invisible,Invisible,attacks-affected,Attacks Affected,"Attack rolls against you have Disadvantage, and your attack rolls have Advantage. If a creature can somehow see you, you don't gain this benefit against that creature.",,d20-modifier,structured-not-mask,"Attack-roll advantage and disadvantage are roll modifiers, not action masks.",Rules Glossary: Invisible [Condition]
paralyzed,Paralyzed,incapacitated,Incapacitated,You have the Incapacitated condition.,dyn:TakeAction;dyn:TakeBonusAction;dyn:TakeReaction;dyn:MaintainConcentration;dyn:Speak,condition-reference-mask,codified-mask,The action masks derive from the embedded Incapacitated condition.,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,speed-0,Speed 0,Your Speed is 0 and can't increase.,dyn:Move,affordance-mask,codified-mask,,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,automatic-failure,structured-not-mask,Automatic save failure is mechanical but is not an action mask.,Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,d20-modifier,structured-not-mask,"Attack-roll advantage is a roll modifier, not an action mask.",Rules Glossary: Paralyzed [Condition]
paralyzed,Paralyzed,automatic-critical-hits,Automatic Critical Hits,Any attack roll that hits you is a Critical Hit if the attacker is within 5 feet of you.,,hit-resolution,structured-not-mask,"Critical-hit conversion is attack resolution data, not an action mask.",Rules Glossary: Paralyzed [Condition]
petrified,Petrified,turned-to-inanimate-substance,Turned to Inanimate Substance,"You are transformed, along with any nonmagical objects you are wearing and carrying, into a solid inanimate substance (usually stone). Your weight increases by a factor of ten, and you cease aging.",,state-transformation,adjudication-required,The transformation affects physical state and carried nonmagical objects; no action mask is invented here.,Rules Glossary: Petrified [Condition]
petrified,Petrified,incapacitated,Incapacitated,You have the Incapacitated condition.,dyn:TakeAction;dyn:TakeBonusAction;dyn:TakeReaction;dyn:MaintainConcentration;dyn:Speak,condition-reference-mask,codified-mask,The action masks derive from the embedded Incapacitated condition.,Rules Glossary: Petrified [Condition]
petrified,Petrified,speed-0,Speed 0,Your Speed is 0 and can't increase.,dyn:Move,affordance-mask,codified-mask,,Rules Glossary: Petrified [Condition]
