expressionKey,spellKey,spellLabel,expressionKind,diceExpression,staticAmount,damageTypeKeys,healingKind,context,sourceSection
acid-arrow-damage-1,acid-arrow,Acid Arrow,damage,4d4,,acid,,"t within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage only. Us",Spell Descriptions: Acid Arrow
acid-arrow-damage-2,acid-arrow,Acid Arrow,damage,2d4,,acid,,"ursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage only. Using a Higher-Level S",Spell Descriptions: Acid Arrow
acid-arrow-damage-3,acid-arrow,Acid Arrow,damage,1d4,,,,f as much of the initial damage only. Using a Higher-Level Spell Slot. The damage (both initial and later) increases by 1d4 for each spell slot level above 2.,Spell Descriptions: Acid Arrow
acid-splash-damage-1,acid-splash,Acid Splash,damage,1d6,,acid,,"re it explodes in a 5-foot-radius Sphere. Each creature in that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-2,acid-splash,Acid Splash,damage,1d6,,acid,,"that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-3,acid-splash,Acid Splash,damage,2d6,,acid,,"a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-4,acid-splash,Acid Splash,damage,3d6,,acid,,"y saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-5,acid-splash,Acid Splash,damage,4d6,,acid,,"or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
aid-healing-1,aid,Aid,healing,,5,,hit-point-maximum,Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration. Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.,Spell Descriptions: Aid
aid-healing-2,aid,Aid,healing,,5,,hit-point-maximum,Hit Point maximum and current Hit Points increase by 5 for the duration. Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.,Spell Descriptions: Aid
